question,choice1,choice2,choice3,choice4,answer,category,difficulty
"수영 자유형에서 물을 손으로 젓는 동작을 무엇이라 하는가?","스트로크","킥","턴","스타트",1,"스포츠",2
"세계에서 가장 큰 대륙 아시아에 속하지 않는 나라는?","중국","인도","이집트","일본",3,"지리",1
"물이 얼 때의 온도는 섭씨 몇 도인가?","100도","10도","-10도","0도",4,"과학",1
"조선을 세운 태조 이성계가 도읍으로 삼은 곳은?","개경","경주","한양","평양",3,"역사",2
"'톰 소여의 모험'의 배경이 되는 강은?","템스강","아마존강","미시시피강","나일강",3,"문학",3
"평면도형에서 넓이의 단위로 알맞은 것은?","리터","센티미터","제곱센티미터","킬로그램",3,"수학",1
"우리나라의 전통 놀이로 정월대보름에 하는 것은?","팽이치기","윷놀이","쥐불놀이","제기차기",3,"상식",2
"미술에서 색을 칠하지 않고 선으로만 그리는 것을 무엇이라 하는가?","소묘(데생)","채색화","수채화","유화",1,"예술",2
"축구에서 골대 앞에서 상대를 막는 최후의 수비수는?","미드필더","공격수","골키퍼","심판",3,"스포츠",1
"세계에서 가장 큰 열대 섬 보르네오섬을 나누어 가진 나라가 아닌 것은?","말레이시아","인도네시아","브루나이","필리핀",4,"지리",1
"인체에서 음식을 씹어 잘게 부수는 기관은?","위","이(치아)","목","혀",2,"과학",1
"고구려 광개토대왕의 업적을 기록한 비석이 있는 지역은?","경주","만주 지안","평양","한양",2,"역사",1
"'셜록 홈즈'의 조수이자 기록자의 이름은?","마이크로프트","모리아티","왓슨","레스트레이드",3,"문학",2
"삼각형의 세 각의 합은 몇 도인가?","180도","90도","270도","360도",1,"수학",1
"우리나라 최초의 여성 서양화가로 알려진 인물은?","신사임당","윤심덕","나혜석","최승희",3,"상식",1
"'봄'을 주제로 한 곡이 포함된 '사계'는 어떤 악기 협주곡인가?","바이올린","피아노","첼로","플루트",1,"예술",3
"올림픽에서 금메달을 딴 선수가 서는 시상대의 위치는?","가운데 낮은 곳","가장 높은 곳","가장 낮은 곳","맨 왼쪽",2,"스포츠",1
"세계에서 가장 긴 강 나일강이 흐르는 대륙은?","남아메리카","아시아","유럽","아프리카",4,"지리",1
"물체가 물에 뜨는 이유는 무엇 때문인가?","마찰력","중력","부력","자기력",3,"과학",2
"조선 세종 때 만들어진 우리 고유의 역법서는?","동의보감","농사직설","향약집성방","칠정산",4,"역사",3
"'적과 흑'과 '파르마의 수도원'을 쓴 작가는?","플로베르","스탕달","위고","발자크",2,"문학",3
"어떤 수와 그 수의 역수를 곱하면?","0","1","그 수","2",2,"수학",3
"우리나라의 대표적 전통 장난감으로 나무로 만들어 돌리는 것은?","윷","연","제기","팽이",4,"상식",1
"'봄의 제전'을 작곡한 사람의 국적은?","이탈리아","프랑스","러시아","독일",3,"예술",2
"권투에서 상대의 공격을 피하는 동작을 무엇이라 하는가?","위빙(더킹)","펀치","클린치","잽",1,"스포츠",3
"세계에서 가장 큰 규모의 산호초 지대는?","카리브해","그레이트 배리어 리프","몰디브","산호해",2,"지리",3
"인체에서 혈액 속 산소를 운반하는 붉은 색소는?","콜라겐","헤모글로빈","멜라닌","케라틴",2,"과학",3
"조선 후기 실학자 박지원이 쓴 소설이 아닌 것은?","구운몽","양반전","호질","허생전",1,"역사",3
"'노인과 바다'의 작가가 받은 상은?","공쿠르상","퓰리처상","노벨문학상","부커상",3,"문학",2
"직사각형에서 마주 보는 두 변의 길이는?","0이다","같다","다르다","알 수 없다",2,"수학",1
"우리나라의 전통 결혼식을 무엇이라 하는가?","성년례","제례","차례","혼례",4,"상식",2
"'아이다'와 '리골레토'를 작곡한 이탈리아 작곡가는?","푸치니","로시니","베르디","벨리니",3,"예술",2
"수영 접영에서 두 다리를 함께 움직이는 발차기를 무엇이라 하는가?","개구리킥","플러터킥","돌핀킥","시저스킥",3,"스포츠",3
"세계에서 인구 밀도가 가장 낮은 대륙은?","오세아니아","남극","아프리카","유럽",2,"지리",2
"식물이 밤에 산소를 소비하고 이산화탄소를 내보내는 작용은?","광합성","증산","호흡","발아",3,"과학",2
"신라의 삼국통일 과정에서 백제를 멸망시킨 전투는?","황산벌 전투","살수대첩","귀주대첩","한산도대첩",1,"역사",2
"'파우스트'는 어느 나라 작가의 작품인가?","독일","프랑스","영국","러시아",1,"문학",2
"정삼각형의 대칭축은 모두 몇 개인가?","1개","2개","3개","4개",3,"수학",3
"우리나라의 대표적 전통 문양으로 장수를 상징하는 것은?","봉황","태극","십장생","용",3,"상식",3
"'인상, 해돋이'를 그려 인상주의를 대표하는 화가는?","드가","마네","모네","피사로",3,"예술",2
"양궁에서 화살을 쏘는 자세를 무엇이라 하는가?","슈팅","릴리스","드로잉","에이밍",2,"스포츠",3
"세계에서 가장 큰 나라 러시아가 걸쳐 있는 대륙은?","아시아와 아프리카","유럽과 아메리카","유럽과 아시아","아시아만",3,"지리",1
"물체가 지구 중심으로 당겨지는 힘을 무엇이라 하는가?","마찰력","부력","중력","탄성력",3,"과학",1
"조선의 임금 중 탕평책을 실시한 왕이 아닌 사람은?","순조","정조","영조","연산군",4,"역사",2
"'변신'과 '심판'을 쓴 작가는?","릴케","카프카","니체","헤세",2,"문학",3
"각의 크기가 0도보다 크고 90도보다 작은 각은?","둔각","직각","예각","평각",3,"수학",1
"우리나라의 세시풍속 중 동지에 먹는 음식은?","떡국","송편","팥죽","화전",3,"상식",2
"'천지창조'와 '최후의 심판'을 그린 예술가는?","다빈치","보티첼리","라파엘로","미켈란젤로",4,"예술",2
"복싱에서 두 선수가 서로 껴안아 공격을 막는 것을 무엇이라 하는가?","잽","클린치","훅","스트레이트",2,"스포츠",1
"세계에서 가장 큰 담수호인 슈피리어호가 있는 나라는?","러시아","중국","브라질","미국과 캐나다",4,"지리",2
"인체에서 뇌가 명령을 전달하는 통로 역할을 하는 신경 다발은?","폐","척수","심장","간",2,"과학",2
"고려 시대 팔만대장경을 만든 목적은?","농업 발전","불교의 힘으로 외적을 물리치기 위해","과거 시험","무역 확대",2,"역사",3
"'주홍글씨'의 주인공 헤스터 프린의 가슴에 새겨진 글자는?","B","A","C","S",2,"문학",2
"100원짜리 동전 5개는 모두 얼마인가?","300원","600원","400원","500원",4,"수학",1
"우리나라의 대표적 전통 가옥에서 방바닥을 데우는 난방 방식은?","라디에이터","온돌","화로","벽난로",2,"상식",1
"오케스트라에서 지휘자가 사용하는 도구는?","지휘봉","활","건반","악보대",1,"예술",1
"태권도에서 상대의 공격을 손이나 팔로 막는 동작은?","찌르기","막기","지르기","차기",2,"스포츠",1
"세계에서 가장 큰 열대우림 아마존이 있는 남아메리카 국가는?","페루","아르헨티나","칠레","브라질",4,"지리",1
"물을 전기분해하면 생기는 두 가지 기체는?","이산화탄소와 물","질소와 산소","수소와 질소","수소와 산소",4,"과학",2
"조선 후기 정조가 아버지 사도세자를 위해 지은 성은?","한양도성","수원 화성","남한산성","진주성",2,"역사",3
"'백년의 고독'의 배경이 되는 가상의 마을 이름은?","요크나파토파","콤알라","산타 마리아","마콘도",4,"문학",1
"삼각형에서 두 변의 길이의 합은 나머지 한 변보다 어떠한가?","항상 크다","항상 작다","같다","알 수 없다",1,"수학",2
"우리나라의 대표적 전통 놀이인 널뛰기에서 사용하는 도구는?","공","긴 널판","연","윷",2,"상식",1
"'봄' 협주곡이 속한 사계는 몇 개의 협주곡으로 이루어져 있는가?","4개","3개","5개","2개",1,"예술",2
"펜싱, 양궁, 사격처럼 정확성을 겨루는 종목에 해당하지 않는 것은?","양궁","펜싱","사격","마라톤",4,"스포츠",2
"세계에서 두 개 이상의 시간대를 가진 큰 나라가 아닌 것은?","러시아","바티칸","캐나다","미국",2,"지리",3
"인체에서 뼈와 근육을 연결하는 조직은?","인대","혈관","연골","힘줄(건)",4,"과학",2
"조선의 세종대왕이 백성을 위해 만든 문자는?","훈민정음","이두","향찰","구결",1,"역사",1
"우리나라에서 국회의원을 뽑는 방식은?","선거","추첨","임명","세습",1,"상식",2
"세계에서 가장 큰 바다 태평양의 이름은 어느 탐험가가 붙였는가?","콜럼버스","쿡","마젤란","바스코 다 가마",3,"지리",1
"물질을 이루는 가장 작은 입자 단위를 무엇이라 하는가?","분자","세포","원자","이온",3,"과학",2
"우리나라 삼국 중 가장 먼저 멸망한 나라는?","백제","고구려","신라","가야",1,"역사",3
"'돈키호테'의 충직한 하인의 이름은?","로시난테","둘시네아","알돈사","산초 판사",4,"문학",1
"삼각형 중 한 각이 90도인 것은?","정삼각형","직각삼각형","둔각삼각형","예각삼각형",2,"수학",1
"우리나라에서 개천절은 무엇을 기념하는 날인가?","광복","3·1운동","고조선 건국","한글 창제",3,"상식",2
"'해바라기'와 '별이 빛나는 밤'을 그린 화가의 국적은?","벨기에","네덜란드","독일","프랑스",2,"예술",2
"축구에서 선수가 공을 상대 진영으로 길게 차 보내는 것을 무엇이라 하는가?","헤딩","드리블","태클","롱패스",4,"스포츠",1
"세계에서 가장 큰 사막인 사하라 사막은 주로 어떤 지형인가?","늪","빙하","숲","모래와 암석",4,"지리",1
"소금과 설탕처럼 물에 녹는 물질을 무엇이라 하는가?","용매","용질","용액","혼합물",2,"과학",2
"조선 시대 왕이 신하들과 학문을 토론하던 자리를 무엇이라 하는가?","과거","조회","경연","연회",3,"역사",1
"'파리대왕'을 쓴 작가가 받은 상은?","퓰리처상","노벨문학상","부커상","공쿠르상",2,"문학",2
"삼각형의 한 꼭짓점에서 마주 보는 변에 수직으로 그은 선분은?","중선","밑변","대각선","높이",4,"수학",2
"우리나라의 대표적 전통 무예 택견은 어떤 특징이 있는가?","기마술","부드러운 곡선 동작","무기 사용","직선적인 타격",2,"상식",2
"'월광 소나타'와 '엘리제를 위하여'를 작곡한 사람은?","모차르트","베토벤","쇼팽","슈베르트",2,"예술",2
"태권도에서 발로 몸통을 차서 얻는 점수는 보통 몇 점인가?","5점","2점","3점","1점",4,"스포츠",1
"세계에서 가장 넓은 나라 러시아의 국토는 주로 어느 반구에 있는가?","북반구","남반구","동반구만","서반구만",1,"지리",2
"인체에서 눈에 들어온 빛이 상을 맺는 부분은?","망막","각막","홍채","수정체",1,"과학",2
"고려의 성종 때 최승로가 올린 개혁안은?","훈요 10조","시무 28조","계백료서","정계",2,"역사",3
"'노인과 바다'에서 노인이 잡은 큰 물고기는?","참치","상어","고래","청새치",4,"문학",1
"직육면체의 꼭짓점은 몇 개인가?","8개","6개","10개","12개",1,"수학",2
"우리나라 전통 명절 한식은 어떤 계절에 있는가?","겨울","봄","가을","여름",2,"상식",1
"'천지창조'를 그린 미켈란젤로는 어느 시대의 예술가인가?","바로크","르네상스","고전주의","낭만주의",2,"예술",2
"야구에서 투수가 던지는 위치를 무엇이라 하는가?","덕아웃","홈플레이트","마운드","베이스",3,"스포츠",2
"세계에서 가장 긴 강 나일강이 흘러드는 바다는?","인도양","지중해","대서양","홍해",2,"지리",1
"물체의 운동 상태를 바꾸는 원인을 무엇이라 하는가?","거리","속도","힘","질량",3,"과학",2
"조선 후기 실학의 한 갈래로 상공업 진흥을 주장한 학파는?","실사구시 학파","경세치용 학파","이용후생 학파(북학파)","위정척사파",3,"역사",3
"'인간 실격'을 쓴 다자이 오사무의 국적은?","한국","중국","일본","베트남",3,"문학",3
"평행사변형에서 마주 보는 두 각의 크기는?","다르다","같다","합이 90도","합이 180도",2,"수학",2
"우리나라의 전통 문양에서 태극은 무엇을 상징하는가?","음양의 조화","용맹","순수","장수",1,"상식",2
"'라 트라비아타'의 뜻은 무엇인가?","나비","춘희","길 잃은 여인","여왕",3,"예술",1
"수영에서 벽을 차고 방향을 바꾸는 동작을 무엇이라 하는가?","스트로크","스타트","킥","턴",4,"스포츠",2
"세계에서 가장 인구가 많은 대륙은?","아프리카","아시아","유럽","북아메리카",2,"지리",1
"소리가 공기 중에서 이동하는 속도는 약 초속 몇 미터인가?","약 1000m","약 100m","약 340m","약 30만 km",3,"과학",1
"고구려의 대표적 고분 벽화가 그려진 무덤이 있는 지역은?","서울","집안과 평양","공주","경주",2,"역사",3
"'변신'에서 그레고르 잠자의 직업은?","의사","외판원","교사","군인",2,"문학",3
"100분의 1을 백분율로 나타내면?","1%","10%","100%","0.1%",1,"수학",2
"우리나라의 대표적 전통 음식으로 밥에 여러 나물을 비벼 먹는 것은?","불고기","비빔밥","김밥","냉면",2,"상식",1
"'봄' '여름' '가을' '겨울'로 구성된 비발디 작품의 장르는?","교향곡","소나타","협주곡","오페라",3,"예술",2
"복싱에서 주먹을 곧게 뻗는 기본 공격은?","어퍼컷","훅","잽","클린치",3,"스포츠",2
"세계에서 화산섬으로 유명하며 '불과 얼음의 나라'로 불리는 곳은?","아이슬란드","그린란드","노르웨이","핀란드",1,"지리",3
"인체에서 세포가 에너지를 만드는 소기관은?","리보솜","핵","미토콘드리아","엽록체",3,"과학",3
"신라의 천문 관측 시설로 동양에서 가장 오래된 것은?","석굴암","첨성대","불국사","다보탑",2,"역사",2
"'죄와 벌'의 배경이 되는 도시는?","파리","모스크바","런던","상트페테르부르크",4,"문학",3
"삼각형의 넓이를 구할 때 필요한 두 가지는?","둘레와 각","두 대각선","밑변과 높이","반지름",3,"수학",1
"우리나라 최초의 근대적 우편 제도를 담당한 기관은?","전신국","우정총국","체신부","우체국",2,"상식",3
"'게르니카'는 어떤 사건을 주제로 그린 작품인가?","프랑스 혁명","스페인 내전의 폭격","2차 대전","산업혁명",2,"예술",3
"양궁 경기에서 사용하는 활의 종류가 아닌 것은?","라켓보우","컴파운드","롱보우","리커브",1,"스포츠",2
"세계에서 가장 큰 대륙 아시아와 유럽을 합쳐 부르는 말은?","유라시아","아프로유라시아","아메리카","오세아니아",1,"지리",2
"물이 수증기가 되어 하늘로 올라가는 현상은?","증발","응결","강수","침투",1,"과학",1
"조선 시대에 왕의 초상화를 무엇이라 하는가?","화상","어진","진영","초본",2,"역사",3
"'허클베리 핀의 모험'을 쓴 마크 트웨인의 본명은?","벤저민 프랭클린","조지 오웰","새뮤얼 클레먼스","윌리엄 시드니",3,"문학",3
"정육면체의 모든 면은 어떤 도형인가?","정사각형","직사각형","삼각형","원",1,"수학",1
"우리나라의 전통 음악에서 궁중에서 연주되던 음악을 무엇이라 하는가?","민속악","정악","산조","판소리",2,"상식",2
"'모나리자'가 소장된 미술관은?","우피치 미술관","오르세 미술관","프라도 미술관","루브르 박물관",4,"예술",2
"축구에서 한 팀이 상대 골문에 공을 넣으면 무엇이라 하는가?","골","파울","오프사이드","코너킥",1,"스포츠",1
"세계에서 가장 큰 대양 태평양에 접한 남아메리카 국가는?","아르헨티나","브라질","칠레","우루과이",3,"지리",2
"인체에서 음식물이 처음 들어가는 소화 기관은?","소장","위","식도","입",4,"과학",1
"고려 시대에 만들어진 세계 최고(最古)의 금속활자본은?","직지심체요절","팔만대장경","무구정광대다라니경","삼국사기",1,"역사",3
"'젊은 예술가의 초상'을 쓴 아일랜드 작가는?","제임스 조이스","오스카 와일드","W.B. 예이츠","버나드 쇼",1,"문학",3
"정사각형은 몇 개의 대칭축을 가지는가?","4개","2개","3개","6개",1,"수학",1
"우리나라의 전통 놀이로 편을 나누어 줄을 당기는 것은?","제기차기","윷놀이","연날리기","줄다리기",4,"상식",1
"'봄' 협주곡을 작곡한 비발디의 별명은?","붉은 머리 사제","음악의 아버지","가곡의 왕","피아노의 시인",1,"예술",1
"태권도에서 겨루기 중 상대를 넘어뜨리거나 밀면 어떻게 되는가?","감점","가점","무효","승리",1,"스포츠",1
"세계에서 가장 큰 규모의 폭포인 이과수 폭포가 있는 대륙은?","북아메리카","남아메리카","아시아","아프리카",2,"지리",2
"물이 끓을 때 생기는 기포의 정체는?","산소","공기","수증기","이산화탄소",3,"과학",3
"조선의 실학자 김정호가 만든 우리나라 지도는?","동국지도","혼일강리역대국도지도","팔도지도","대동여지도",4,"역사",1
"'파우스트'에서 파우스트가 추구한 것은?","부","무한한 지식과 쾌락","권력","명예",2,"문학",3
"두 수 6과 8의 최소공배수는?","14","48","12","24",4,"수학",2
"우리나라의 전통 한복에서 여성이 입는 웃옷을 무엇이라 하는가?","두루마기","저고리","치마","마고자",2,"상식",2
"오케스트라에서 목관악기에 속하지 않는 것은?","트럼펫","플루트","오보에","클라리넷",1,"예술",3
"수영 종목에서 가장 짧은 거리 경기는?","50m","100m","200m","400m",1,"스포츠",1
"세계에서 가장 큰 열대우림 아마존이 배출하는 것으로 '지구의 허파'라 불리는 이유는?","많은 물","많은 산소","많은 이산화탄소","많은 열",2,"지리",2
"인체에서 뼈 속에서 혈액을 만드는 조직은?","인대","골수","힘줄","연골",2,"과학",1
"임진왜란 때 의병을 일으켜 활약한 인물이 아닌 사람은?","이완용","조헌","곽재우","고경명",1,"역사",2
"'셜록 홈즈'가 사는 런던의 거리는?","베이커가","다우닝가","옥스퍼드가","리젠트가",1,"문학",2
"직각의 3배 각도는 몇 도인가?","180도","90도","270도","360도",3,"수학",2
"우리나라의 전통 절기 중 낮이 가장 긴 날은?","춘분","동지","하지","추분",3,"상식",2
"'키스'와 '아델레 블로흐바우어의 초상'을 그린 화가는?","코코슈카","클림트","실레","뭉크",2,"예술",1
"복싱, 태권도, 유도처럼 상대와 겨루는 종목을 통칭하는 것은?","구기","수상","육상","격투기",4,"스포츠",1
"세계에서 가장 많은 국가가 사용하는 통화는?","위안","유로","엔","미국 달러",4,"지리",2
"물체가 빠르게 움직일 때 가지는 에너지를 무엇이라 하는가?","화학 에너지","운동 에너지","열 에너지","위치 에너지",2,"과학",2
"고려 시대 무신정변을 일으킨 대표적 인물은?","이자겸","최충헌","정중부","묘청",3,"역사",2
"'분노의 포도'의 배경이 되는 미국 대공황 시기의 이주 지역은?","플로리다","텍사스","뉴욕","캘리포니아",4,"문학",2
"각의 크기가 180도인 각을 무엇이라 하는가?","평각","직각","예각","둔각",1,"수학",1
"우리나라의 대표적 전통 명절 음식으로 설날에 먹는 것은?","화전","송편","팥죽","떡국",4,"상식",1
"'봄의 제전'은 어떤 장르를 위해 작곡되었는가?","발레","오페라","교향곡","협주곡",1,"예술",1
"태권도에서 가장 낮은 급의 띠 색깔은?","검은 띠","노란 띠","흰 띠","파란 띠",3,"스포츠",1
"세계에서 가장 큰 규모의 삼각주를 이루는 강이 아닌 것은?","한강","나일강","갠지스강","메콩강",1,"지리",1
"인체에서 우리가 냄새를 맡는 감각 기관은?","귀","눈","혀","코",4,"과학",1
"조선 시대 백성의 억울함을 풀어주기 위해 설치한 북은?","측우기","자격루","혼천의","신문고",4,"역사",2
"'적과 흑'에서 '적'과 '흑'이 각각 상징하는 것으로 흔히 해석되는 것은?","자유와 억압","사랑과 죽음","부와 권력","군대와 성직",4,"문학",3
"원기둥을 밑면과 평행하게 자른 단면의 모양은?","타원","삼각형","사각형","원",4,"수학",2
"우리나라의 전통 놀이로 종이를 접어 만든 것을 치는 것은?","제기차기","팽이치기","윷놀이","딱지치기",4,"상식",1
"'환희의 송가'는 원래 어느 시인의 시에 곡을 붙인 것인가?","실러","괴테","하이네","릴케",1,"예술",1
"골프에서 한 홀의 기준 타수보다 1타 많게 마치는 것은?","이글","보기","버디","파",2,"스포츠",2
"세계에서 가장 깊은 호수로 알려진 곳은?","카스피해","빅토리아호","슈피리어호","바이칼호",4,"지리",3
"물체에 힘을 가할 때 그 반대 방향으로 작용하는 힘을 무엇이라 하는가?","반작용","작용","마찰","관성",1,"과학",1
"조선을 건국하며 새 도읍의 궁궐로 지은 것은?","창경궁","창덕궁","경복궁","덕수궁",3,"역사",2
"한국의 전통 명절 중 조상에게 차례를 지내는 대표적인 두 명절은?","동지와 대보름","단오와 한식","설날과 추석","입춘과 하지",3,"상식",1
"세계에서 가장 큰 규모의 협곡으로 미국에 있는 것은?","블라이드 협곡","콜카 협곡","그랜드 캐니언","타이거 협곡",3,"지리",1
"물질이 산소와 결합해 빛과 열을 내는 반응을 무엇이라 하는가?","증발","응결","연소","용해",3,"과학",1
"조선의 첫 번째 임금은?","정종","태조","태종","세종",2,"역사",1
"'위대한 개츠비'의 배경이 되는 미국 도시는?","보스턴","시카고","LA","뉴욕",4,"문학",1
"두 각의 합이 90도인 두 각을 무엇이라 하는가?","동위각","맞꼭지각","여각(보각)","엇각",3,"수학",1
"우리나라의 국화는 무궁화이고, 국가(國歌)는?","아리랑","애국가","한오백년","도라지",2,"상식",1
"'별이 빛나는 밤'은 어느 미술 사조에 속하는가?","초현실주의","입체주의","후기 인상주의","야수주의",3,"예술",1
"축구에서 골키퍼가 손으로 공을 잡을 수 있는 구역을 무엇이라 하는가?","센터서클","페널티 박스","코너","골라인",2,"스포츠",1
"세계에서 가장 큰 나라 러시아의 국토 면적은 대략 세계 육지의 몇 분의 1인가?","약 4분의 1","약 8분의 1","약 2분의 1","약 16분의 1",2,"지리",3
"인체에서 몸을 지탱하고 움직이게 하는 조직은?","근육","혈액","피부","지방",1,"과학",1
"고구려를 멸망시킨 나라 연합은?","당과 왜","신라와 당","신라와 백제","백제와 왜",2,"역사",1
"'노인과 바다'의 작가 헤밍웨이의 국적은?","독일","영국","미국","프랑스",3,"문학",1
"가장 작은 소수는?","1","2","3","0",2,"수학",2
"우리나라의 대표적 전통 놀이로 나무 막대 4개를 던지는 것은?","연날리기","제기차기","윷놀이","팽이치기",3,"상식",1
"'봄'과 '사계'를 작곡한 비발디는 어느 나라 사람인가?","이탈리아","독일","오스트리아","프랑스",1,"예술",1
"태권도 경기에서 심판이 경기를 시작할 때 외치는 구령은?","경례","차렷","시작","그만",3,"스포츠",1
"세계에서 가장 인구가 적은 대륙이자 대양으로 둘러싸인 곳은?","남극","유럽","오세아니아","아프리카",3,"지리",1
"소리가 진공에서 전달되지 않는 이유는?","매질이 없어서","너무 추워서","빛이 없어서","공기가 많아서",1,"과학",3
"조선의 실학자 유형원이 쓴 개혁서는?","경세유표","반계수록","목민심서","성호사설",2,"역사",3
"'파리대왕'에서 무리를 이끄는 두 소년의 이름은?","해리와 빌","톰과 샘","존과 폴","랠프와 잭",4,"문학",3
"직각삼각형에서 두 변이 6과 8이면 빗변은?","10","12","14","16",1,"수학",1
"우리나라의 전통 명절 대보름에 하는 놀이가 아닌 것은?","크리스마스 트리 장식","쥐불놀이","달집태우기","연날리기",1,"상식",2
"'전람회의 그림'은 원래 어떤 악기를 위한 곡인가?","첼로","바이올린","플루트","피아노",4,"예술",1
"야구에서 한 팀이 공격과 수비를 한 번씩 하는 것을 무엇이라 하는가?","쿼터","세트","이닝","라운드",3,"스포츠",2
"세계에서 가장 긴 산맥 안데스의 최고봉은?","킬리만자로","에베레스트","몽블랑","아콩카과",4,"지리",3
"인체에서 혈액을 온몸으로 내보내는 심장의 부위는?","좌심실","우심방","좌심방","우심실",1,"과학",3
"조선 시대 지방을 다스리기 위해 파견한 관리는?","판서","의정","수령","승지",3,"역사",3
"'죄와 벌'을 쓴 도스토옙스키가 활동한 세기는?","18세기","17세기","19세기","20세기",3,"문학",2
"삼각형의 세 중선이 만나는 점을 무엇이라 하는가?","외심","무게중심","내심","수심",2,"수학",3
"우리나라의 대표적인 전통 발효 식품으로 콩을 발효시킨 것은?","젓갈","김치","식혜","청국장",4,"상식",1
"'봄의 소리 왈츠'와 '아름답고 푸른 도나우'를 작곡한 사람은?","슈베르트","베토벤","브람스","요한 슈트라우스 2세",4,"예술",1
"수영 배영에서 선수는 어떤 자세로 헤엄치는가?","옆으로","엎드려서","등을 대고 위를 보며","서서",3,"스포츠",2
"세계에서 가장 큰 섬 그린란드는 어느 나라의 자치령인가?","아이슬란드","노르웨이","덴마크","캐나다",3,"지리",2
"물이 얼음이 되면 상태 변화 중 무엇에 해당하는가?","응고","융해","기화","승화",1,"과학",2
"고려 시대 승려 일연이 쓴 역사서는?","고려사","삼국사기","삼국유사","동국통감",3,"역사",3
"'분노의 포도'를 쓴 스타인벡의 국적은?","러시아","영국","프랑스","미국",4,"문학",2
"정육면체의 모든 모서리 길이는 어떠한가?","같다","다르다","0이다","알 수 없다",1,"수학",1
"우리나라의 전통 의상 한복에서 남성이 입는 겉옷은?","치마","저고리","두루마기","족두리",3,"상식",2
"'천지창조'에서 신이 사람을 창조하는 유명한 장면의 제목은?","최후의 만찬","아담의 창조","최후의 심판","성모자",2,"예술",3
"복싱에서 아래에서 위로 올려치는 공격은?","스트레이트","잽","훅","어퍼컷",4,"스포츠",2
"세계에서 두 번째로 인구가 많은 나라로 알려진 곳은?","중국","인도","미국","인도네시아",2,"지리",2
"인체에서 뇌가 담긴 단단한 뼈 구조를 무엇이라 하는가?","척추","골반","갈비뼈","두개골",4,"과학",2
"임진왜란 후 일본과의 국교 회복을 위해 파견한 사절단은?","보빙사","연행사","수신사","통신사",4,"역사",1
"'파우스트'와 '젊은 베르테르의 슬픔'을 쓴 작가는?","괴테","실러","하이네","릴케",1,"문학",2
"1000에서 1까지 거꾸로 셀 때 마지막 수는?","100","0","1","10",3,"수학",1
"우리나라의 전통 춤 중 승려 복장을 하고 추는 것은?","승무","살풀이","부채춤","탈춤",1,"상식",3
"'모나리자'를 그린 다빈치는 어느 나라 출신인가?","네덜란드","프랑스","이탈리아","스페인",3,"예술",1
"양궁에서 표적의 중심을 무엇이라 하는가?","레드","블랙","블루","골드",4,"스포츠",1
"세계에서 가장 큰 열대우림 아마존 강의 하구가 접한 대양은?","대서양","태평양","인도양","북극해",1,"지리",2
"물질을 이루는 원소 중 가장 가벼운 것은?","탄소","산소","질소","수소",4,"과학",1
"조선 후기 상업이 발달하면서 나타난 대상인 집단이 아닌 것은?","화랑","송상","경강상인","내상",1,"역사",3
"'허클베리 핀'과 '톰 소여'가 등장하는 작품을 쓴 작가는?","루이스 캐럴","마크 트웨인","로버트 스티븐슨","찰스 디킨스",2,"문학",2
"삼각형의 한 외각은 이웃하지 않는 두 내각의 합과 어떠한가?","크다","작다","같다","무관하다",3,"수학",3
"우리나라의 대표적인 전통 가옥 재료로 흙과 짚을 섞어 지은 지붕은?","기와지붕","초가지붕","슬레이트","너와지붕",2,"상식",2
"'백조의 호수'에서 백조로 변한 공주에게 저주를 건 인물은?","오딜","로트바르트","오데트","지크프리트",2,"예술",2
"수영에서 두 손을 동시에 저으며 물속에서 개구리처럼 발을 차는 영법은?","자유형","평영","배영","접영",2,"스포츠",2
"세계에서 가장 넓은 나라의 수도 모스크바가 있는 나라는?","러시아","중국","캐나다","미국",1,"지리",1
"인체에서 음식을 소화시키는 소화액을 분비하지 않는 기관은?","위","이자","심장","간",3,"과학",2
"고려의 광종이 실시한 정책으로 노비를 조사해 양민으로 해방한 것은?","전시과","과거제","훈요십조","노비안검법",4,"역사",2
"'롤리타'를 쓴 나보코프의 출신국은?","프랑스","러시아","미국","독일",2,"문학",2
"직사각형의 넓이를 구하는 공식은?","가로 × 세로","가로 + 세로","가로 × 2","세로 × 2",1,"수학",1
"우리나라의 대표적 전통 놀이인 강강술래는 주로 어떤 명절에 하는가?","단오","설날","추석","한식",3,"상식",2
"'인상, 해돋이'는 어느 항구를 그린 그림인가?","니스","마르세유","르아브르","칸",3,"예술",1
"복싱 경기에서 선수가 쓰러져 10초 안에 일어나지 못하면?","경고","반칙","KO패","무승부",3,"스포츠",2
"세계에서 가장 큰 호수 카스피해는 실제로 어떤 종류인가?","호수(내해)","바다","강","늪",1,"지리",2
"물체가 높은 곳에 있을 때 가지는 에너지를 무엇이라 하는가?","위치 에너지","운동 에너지","열 에너지","빛 에너지",1,"과학",2
"조선 시대 임금이 신하에게 내리는 술을 무엇이라 하는가?","합환주","사주(賜酒)","향음주","교배주",2,"역사",3
"'젊은 베르테르의 슬픔'은 주로 무엇을 다룬 소설인가?","추리","전쟁","모험","이루지 못한 사랑",4,"문학",3
"직각의 2배 각도는 몇 도인가?","360도","90도","270도","180도",4,"수학",1
